index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
0,1,	91	164	100	341	28966	35	92014	54	49	26	2	39	75724	213666	620	8166	0	
0,2,	92	135	63	200	42441	42	57978	20	20	19	1	31	53594	129871	392	4378	0	
0,3,	94	84	42	128	45773	44	35432	11	11	10	1	13	31329	71185	246	3897	1	
0,4,	92	99	61	162	42752	39	40261	17	17	16	1	22	34832	103170	308	5428	0	
0,5,	89	151	113	287	39144	40	77255	43	43	33	1	30	66227	176117	538	9885	0	
0,6,	93	109	44	155	45110	45	43981	12	12	11	1	16	39865	82915	300	3910	1	
0,7,	92	108	55	163	44635	43	52139	14	14	14	1	16	46186	96548	314	5953	0	
0,8,	89	134	145	291	39559	34	86049	53	50	48	2	25	62725	185484	552	22880	0	
0,9,	92	155	83	246	42365	42	70979	30	30	27	1	30	65156	146660	474	5714	0	
0,10,	91	123	71	199	45376	45	58446	19	19	17	1	15	51625	102182	376	6196	0	
0,11,	94	77	65	144	44589	41	38798	15	15	14	1	19	30358	109579	272	8234	0	
0,12,	92	81	73	156	45749	44	38548	15	15	14	1	13	31011	74799	294	7331	1	
0,13,	93	84	44	130	45484	44	36379	12	12	11	1	13	32263	73875	250	3910	1	
0,14,	93	70	44	116	45236	45	31081	12	12	11	1	13	26965	69251	222	3910	1	
0,15,	93	84	46	132	45318	44	35419	13	13	12	1	14	31104	75139	254	4109	1	
0,16,	94	69	44	115	45524	45	31081	12	12	11	1	13	26965	69390	220	3910	1	
0,17,	94	82	49	135	45233	44	36799	14	14	12	1	16	32277	86696	260	4117	1	
0,18,	93	74	46	122	44605	45	32947	12	12	11	1	15	28212	73745	234	4529	1	
0,19,	93	71	44	117	45252	45	31134	12	12	11	1	13	27018	69295	224	3910	1	
0,20,	94	69	44	115	45340	45	31144	12	12	11	1	13	27028	69547	220	3910	1	
0,21,	94	70	44	116	45535	45	31841	12	12	11	1	13	27725	68990	222	3910	1	
0,22,	95	69	30	101	46120	45	30314	10	10	9	1	12	27148	62844	194	2960	1	
0,23,	94	78	44	124	45742	45	32245	12	12	11	1	13	28129	70611	238	3910	1	
0,24,	93	80	47	129	44298	43	34701	13	13	12	1	15	30194	80724	246	4301	1	
0,25,	94	70	44	116	45550	45	31146	12	12	11	1	13	27030	69253	222	3910	1	
0,26,	93	88	44	132	45000	44	35160	11	11	11	1	16	31250	75690	256	3910	1	
0,27,	94	69	41	112	45772	45	30950	11	11	10	1	12	27016	65677	214	3728	1	
0,28,	93	74	44	120	45284	45	31703	12	12	11	1	13	27587	69885	230	3910	1	
