index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
0,1,	102	207	565	778	14259	27	49937	44	44	43	1	17	40682	95592	1346	9250	269
0,2,	108	199	380	585	16263	30	37129	33	33	32	1	11	33176	66003	1040	3948	287
0,3,	106	233	469	708	15362	31	46259	36	36	35	1	17	39853	82644	1224	6401	275
0,4,	106	233	468	701	15750	30	44454	34	34	34	1	14	38479	74690	1196	5975	282
0,5,	107	201	395	602	16260	30	36338	34	34	33	1	8	32229	63484	1058	4104	289
0,6,	106	196	478	680	15130	28	47289	44	44	43	1	12	40104	90805	1196	7180	273
0,7,	108	198	420	624	16099	30	42644	38	38	37	1	8	37466	70982	1100	5173	285
0,8,	108	175	380	561	16427	30	34040	33	33	32	1	8	30087	60018	996	3948	290
0,9,	108	181	380	567	16380	31	33206	33	33	32	1	8	29253	59614	1002	3948	290
0,10,	108	189	358	553	16223	30	34836	32	32	31	1	9	30957	60462	980	3874	290
0,11,	109	160	351	517	16234	31	32911	32	32	31	1	9	29213	60558	918	3693	290
0,12,	109	165	371	542	16582	31	32793	32	32	31	1	8	28844	57823	962	3944	291
0,13,	108	180	430	616	15409	29	39950	41	41	40	1	10	34967	79423	1074	4978	280
0,14,	109	166	353	525	16511	31	32276	32	32	31	1	8	28411	56906	928	3860	291
0,15,	108	158	380	544	16351	31	32826	33	33	32	1	8	28873	59065	964	3948	290
0,16,	108	161	380	547	16378	31	32698	33	33	32	1	8	28745	58865	970	3948	290
0,17,	108	162	380	548	16364	31	33051	33	33	32	1	8	29098	59222	972	3948	290
0,18,	108	168	380	554	16361	31	32550	33	33	32	1	8	28597	58963	982	3948	290
0,19,	108	155	380	541	16330	31	32439	33	33	32	1	8	28486	58786	958	3948	290
0,20,	108	155	380	541	16330	31	32780	33	33	32	1	8	28827	58807	958	3948	290
0,21,	109	158	361	525	16511	31	32276	32	32	31	1	8	28341	56906	928	3930	291
0,22,	109	152	345	503	16551	32	32202	31	31	30	1	8	28372	54199	892	3825	292
0,23,	110	159	309	474	16704	32	31947	30	30	29	1	8	28380	52089	840	3562	293
0,24,	109	145	363	514	16565	31	32230	31	31	30	1	8	28328	54296	910	3897	292
0,25,	110	157	329	492	16663	32	31956	31	31	30	1	8	28332	54687	872	3619	292
0,26,	109	154	386	540	16469	31	32430	33	33	33	1	8	28477	59284	954	3953	290
0,27,	109	157	362	525	16511	31	32276	32	32	31	1	8	28403	56906	928	3868	291
0,28,	108	158	380	544	16336	31	32282	33	33	32	1	8	28329	58789	964	3948	290
0,29,	109	158	361	525	16494	31	32520	32	32	31	1	8	28585	57247	928	3930	291
0,30,	108	149	380	535	16289	31	32314	33	33	32	1	8	28361	58705	944	3948	290
0,31,	109	149	356	511	16552	31	32233	31	31	30	1	8	28355	54872	906	3873	292
0,32,	108	156	380	542	16280	31	32829	33	33	32	1	8	28876	59406	960	3948	290
0,33,	108	153	380	539	16319	31	32306	33	33	32	1	8	28353	58767	952	3948	290
0,34,	109	147	372	525	16511	31	32276	32	32	31	1	8	28338	56906	928	3933	291
0,35,	109	146	370	522	16470	31	32227	32	32	31	1	8	28336	57076	924	3886	291
0,36,	109	143	380	529	16468	31	32276	33	33	32	1	8	28323	58130	932	3948	290
0,37,	109	143	380	529	16435	31	32282	33	33	32	1	8	28329	58428	932	3948	290
0,38,	109	145	374	525	16511	31	32276	32	32	31	1	8	28375	56906	928	3896	291
0,39,	109	144	380	530	16468	31	32276	33	33	32	1	8	28323	58253	934	3948	290
0,40,	109	145	358	509	16502	32	32452	32	32	31	1	8	28573	55487	900	3874	291
0,41,	109	142	358	506	16484	32	32202	32	32	31	1	8	28323	55282	896	3874	291
0,42,	109	143	380	529	16403	31	32617	33	33	32	1	9	28664	59967	934	3948	289
0,43,	109	142	373	521	16511	31	32275	31	31	30	1	8	28326	56906	926	3944	291
0,44,	109	140	380	526	16511	31	32276	33	33	32	1	7	28323	56906	928	3948	291
0,45,	110	143	337	486	16671	31	31416	31	31	30	1	7	28324	53377	856	3087	293
0,46,	105	257	455	718	11879	30	51701	39	39	38	1	21	46398	83900	1290	5298	270
0,47,	108	198	380	584	16498	30	41035	33	33	32	1	9	37082	67027	1036	3948	289
0,48,	108	185	380	571	16427	30	34883	33	33	32	1	8	30930	60248	1008	3948	290
0,49,	108	186	380	572	16420	30	34783	33	33	32	1	8	30830	60540	1014	3948	290
0,50,	108	189	380	575	16378	31	33646	33	33	32	1	8	29693	59831	1006	3948	290
0,51,	109	206	371	583	16660	30	37365	32	32	31	1	8	33416	60307	1024	3944	291
0,52,	105	209	480	689	16196	30	43868	35	35	35	1	8	37550	64530	1174	6318	288
0,53,	108	163	396	565	14685	29	39262	35	35	34	1	13	34493	83191	1000	4764	277
0,54,	108	217	349	572	16241	31	44453	33	33	32	1	12	40664	68034	1002	3784	285
0,55,	108	188	380	574	16442	30	34979	33	33	32	1	8	31026	60904	1020	3948	290
0,56,	108	195	358	559	16452	31	35029	32	32	31	1	8	31150	58366	992	3874	291
0,57,	107	201	392	599	15913	30	37039	35	35	34	1	8	32956	64207	1068	4078	288
0,58,	109	187	348	541	16504	31	35592	32	32	31	1	9	31541	59643	958	4046	290
0,59,	108	173	380	559	16368	31	32762	33	33	32	1	8	28809	59225	988	3948	290
0,60,	108	183	380	569	16319	30	34145	33	33	32	1	9	30192	61569	1010	3948	289
0,61,	108	166	380	552	16344	31	33145	33	33	32	1	8	29192	59721	980	3948	290
0,62,	108	165	380	551	16396	31	33277	33	33	32	1	8	29324	59230	980	3948	290
0,63,	108	174	380	560	16414	31	33266	33	33	32	1	8	29313	59262	994	3948	290
0,64,	108	172	380	558	16393	31	32952	33	33	32	1	8	28999	59243	992	3948	290
0,65,	108	180	371	557	16466	31	33612	32	32	31	1	8	29662	57864	992	3945	291
0,66,	108	159	358	523	16379	32	32564	32	32	31	1	8	28685	56256	930	3874	291
0,67,	108	162	380	548	16388	31	33018	33	33	32	1	8	29065	58957	972	3948	290
0,68,	110	173	333	512	16562	31	32272	30	30	29	1	8	29181	55281	914	3086	292
0,69,	108	156	380	542	16324	31	32841	33	33	32	1	8	28888	59111	960	3948	290
0,70,	108	153	380	539	16327	31	32670	33	33	32	1	8	28717	58692	954	3948	290
0,71,	108	161	380	547	16304	31	32777	33	33	32	1	8	28824	59644	968	3948	290
0,72,	108	154	380	540	16344	31	32432	33	33	32	1	8	28479	58747	956	3948	290
0,73,	108	149	380	535	16282	31	32466	33	33	32	1	8	28513	58853	948	3948	290
0,74,	108	157	380	543	16286	31	32598	33	33	32	1	8	28645	59647	962	3948	290
0,75,	108	148	380	534	16319	31	32443	33	33	32	1	8	28490	58312	944	3948	290
0,76,	108	146	380	532	16291	31	32283	33	33	32	1	8	28330	58205	942	3948	290
0,77,	108	145	380	531	16227	31	32342	33	33	32	1	8	28389	58238	940	3948	290
0,78,	108	145	380	531	16227	31	32340	33	33	32	1	8	28387	58344	940	3948	290
0,79,	108	151	380	537	16288	31	32546	33	33	32	1	8	28593	59045	950	3948	290
